timestamp,author_x,message_x,author_y,message_y
2024-09-10 20:54:46,Charlie Beehr,9 pm est,Charlie Beehr,9 pm est
2024-09-10 20:54:47,Room6,Oooookay?,Room6,Oooookay?
2024-09-10 20:54:49,Great to be back ,:popcorn: :cup_with_straw::thumbs_up:,Great to be back ,:popcorn: :cup_with_straw::thumbs_up:
2024-09-10 20:54:50,Chocolate,@Emanuel N u have offended my religous veiws lol,Chocolate,@Emanuel N u have offended my religous veiws lol
2024-09-10 20:54:54,Lora,Trump did the crime Jesus never sinned went to the cross with innocent ,Lora,Trump did the crime Jesus never sinned went to the cross with innocent 
2024-09-10 20:54:57,Curt ,ramble on,Curt ,ramble on
2024-09-10 20:55:00,Austin | Recreational Director,DEBATE IS IN 5 MINUTES,Austin | Recreational Director,DEBATE IS IN 5 MINUTES
2024-09-10 20:55:03,Sikies Cordova,Welfare recipients for trump ,Sikies Cordova,Welfare recipients for trump 
2024-09-10 20:55:07,Emanuel N,You want to sane explain away Trump's acts that's your business,Emanuel N,You want to sane explain away Trump's acts that's your business
2024-09-10 20:55:09,younglink309,"every night i get on my knees and pray that Trump will take me away from here. ""Trump is love"" I'd say ""Trump is life""",GiratinaTech,appreciate it
2024-09-10 20:55:09,GiratinaTech,appreciate it,GiratinaTech,appreciate it
2024-09-10 20:55:14,4Running Free,ffs! do your homework people,4Running Free,ffs! do your homework people
2024-09-10 20:55:15,Truth,"Tis is what Democrats do to you in court, lie, false charges, plants, games, lawyer legalese language and play games theater to leave you lost and having to submit to them!",Truth,"Tis is what Democrats do to you in court, lie, false charges, plants, games, lawyer legalese language and play games theater to leave you lost and having to submit to them!"
2024-09-10 20:55:18,Kaiden9226,No evidence ,Kaiden9226,No evidence 
2024-09-10 20:55:19,Emanuel N,Chocolate its nonsense to the rest of us,Emanuel N,Chocolate its nonsense to the rest of us
2024-09-10 20:55:19,Room6,Still more cognizant than I’ve seen in a while,Emanuel N,Chocolate its nonsense to the rest of us
2024-09-10 20:55:20,Wen Lambo ??,i love trump so much,Great to be back ,Hunter Biden cheated on his taxes:hand-orange-covering-eyes::hand-orange-covering-eyes:
2024-09-10 20:55:20,Great to be back ,Hunter Biden cheated on his taxes:hand-orange-covering-eyes::hand-orange-covering-eyes:,Great to be back ,Hunter Biden cheated on his taxes:hand-orange-covering-eyes::hand-orange-covering-eyes:
2024-09-10 20:55:44,Truth,"This is what Democrats do to you in court, lie, false charges, plants, games, lawyer legalese language and play games theater to leave you lost and having to submit to them!",Truth,"This is what Democrats do to you in court, lie, false charges, plants, games, lawyer legalese language and play games theater to leave you lost and having to submit to them!"
2024-09-10 20:55:48,Chocolate,@Emanuel N so is fascism,Chocolate,@Emanuel N so is fascism
2024-09-10 20:55:52,Curt ,facts,Curt ,facts
2024-09-10 20:55:56,Kaiden9226,:hundred_points::hundred_points::hundred_points:,Kaiden9226,:hundred_points::hundred_points::hundred_points:
2024-09-10 20:56:07,urmailman,AWWWW YEAHHHH ITS TIMEEE,urmailman,AWWWW YEAHHHH ITS TIMEEE
2024-09-10 20:56:10,CORE KeyMaker,My nips,CORE KeyMaker,My nips
2024-09-10 20:56:11,Chocolate,xD,Chocolate,xD
2024-09-10 20:56:12,Emanuel N,Chocolate your talking about TRUMP right?,Emanuel N,Chocolate your talking about TRUMP right?
2024-09-10 20:56:17,Wen Lambo ??,straight up MALARKY !,Wen Lambo ??,straight up MALARKY !
2024-09-10 20:56:20,Lora,Trump is love wow ask the people that he caused to lose their jobs if that was love that is greed,Lora,Trump is love wow ask the people that he caused to lose their jobs if that was love that is greed
2024-09-10 20:56:25,Charlie Beehr,go trump; dump Harris!,Charlie Beehr,go trump; dump Harris!
2024-09-10 20:56:27,younglink309,WE LIKE IKE! WE LIKE IKE!,younglink309,WE LIKE IKE! WE LIKE IKE!
2024-09-10 20:56:28,Emanuel N,Trump wants to control all facets of our government,Emanuel N,Trump wants to control all facets of our government
2024-09-10 20:56:29,urmailman,Lmao,urmailman,Lmao
2024-09-10 20:56:31,Kaiden9226,Biden::frowning_face_with_open_mouth:,Kaiden9226,Biden::frowning_face_with_open_mouth:
2024-09-10 20:56:33,Truth,Dixie Crat,Truth,Dixie Crat
2024-09-10 20:56:36,Wen Lambo ??,HairAss,Wen Lambo ??,HairAss
2024-09-10 20:56:39,Emanuel N,Judicial ...3 supreme court justices,Emanuel N,Judicial ...3 supreme court justices
2024-09-10 20:56:43,Wen Lambo ??,Kamala HairAss,Wen Lambo ??,Kamala HairAss
2024-09-10 20:56:47,Chocolate,?????,Truth,@Kaiden9226 lol
2024-09-10 20:56:47,Truth,@Kaiden9226 lol,Truth,@Kaiden9226 lol
2024-09-10 20:56:49,urmailman,jan 6 was a joke,urmailman,jan 6 was a joke
2024-09-10 20:56:55,Reggie White Uncensored,"Lil Girl hair smeller, :ice_cream: licker. Replaced with a chameleon...",Reggie White Uncensored,"Lil Girl hair smeller, :ice_cream: licker. Replaced with a chameleon..."
